,X,Y
375,3657545.375534474,2069400.6489210762
376,3657553.996140631,2069500.2465306756
377,3657562.5764125,2069599.5145716572
378,3657571.165167448,2069698.7818094555
379,3657579.7290356187,2069798.0517559391
380,3657588.33949435,2069897.5394917699
381,3657596.9203288374,2069996.8078320462
382,3657605.5286995703,2070096.1846656236
383,3657614.0847894643,2070195.4557893071
384,3657622.6743877307,2070294.72347603
385,3657631.255784696,2070393.9921154294
386,3657639.871829529,2070493.7024063908
387,3657648.464220681,2070593.0813704208
388,3657665.641084415,2070791.8404010318
389,3657674.223185515,2070891.1094146552
390,3657682.8137681107,2070990.3776251415
391,3657691.4044910464,2071089.6459103506
392,3657699.9786729836,2071188.9160259466
393,3657708.561336295,2071288.1853384038
394,3657717.1524806134,2071387.4538477194
395,3657593.793105456,2068795.1987372402
396,3657602.354251105,2068894.4681126056
397,3657610.9750585393,2068994.1765013877
398,3657619.5531730955,2069093.4442709403
399,3657628.158823238,2069192.8205333394
400,3657636.73721883,2069292.0884526395
401,3657645.3288302314,2069391.5776724871
402,3657653.907507363,2069490.845741574
403,3657662.494667694,2069590.113007618
404,3657671.0736258416,2069689.3812263054
405,3657679.6610669456,2069788.6486419577
406,3657688.223621577,2069887.918765866
407,3657696.862525409,2069987.626151054
408,3657705.442046266,2070086.8946692094
409,3657714.0217076913,2070186.1632621372
410,3657722.620561772,2070285.5412267265
411,3657731.1838210365,2070384.8117248027
412,3657739.7722459612,2070484.079664295
413,3657748.3608112102,2070583.3476785393
414,3657756.951886357,2070682.7268203183
415,3657765.5157090034,2070781.9976173574
416,3657774.10469585,2070881.2658558933
417,3657782.728327224,2070980.9757480286
418,3657791.3175953943,2071080.2441363498
419,3657799.8903225223,2071179.5143548027
420,3657808.4798715822,2071278.782892544
421,3657817.061220525,2071378.0523826745
422,3657825.6510503516,2071477.3210698182
423,3657702.304266717,2068885.2877607944
424,3657710.8807862327,2068984.5555582307
425,3657719.4657895565,2069083.8225527462
426,3657728.050933191,2069183.089622109
427,3657736.6385814277,2069282.4678180297
428,3657745.198977275,2069381.7376703254
429,3657753.827372795,2069481.445660865
430,3657762.404736204,2069580.7139076476
431,3657770.9905826896,2069679.9813515285
432,3657779.5765694845,2069779.2488702228
433,3657788.162696589,2069878.5164637205
434,3657796.7406218424,2069977.785009686
435,3657805.3103456115,2070077.0545081005
436,3657813.888552091,2070176.3232036033
437,3657822.4966583056,2070275.8114458758
438,3657831.0751460446,2070375.0802910707
439,3657839.696610227,2070474.7899110138
440,3657848.302771593,2070574.167325874
441,3657856.881681437,2070673.4363957378
442,3657865.4523906475,2070772.7064179445
443,3657874.042291244,2070872.0858125938
444,3657882.629963942,2070971.3542291217
445,3657891.230855742,2071070.8439489685
446,3657899.8188094525,2071170.1125151026
447,3657908.381881743,2071269.3837886592
448,3657916.978456886,2071368.6516266454
449,3657810.818792142,2068975.2667225995
450,3657819.413046821,2069074.6439941449
451,3657827.9883933747,2069173.912044299
452,3657836.555537439,2069273.1810468729
453,3657845.131165187,2069372.4492466548
454,3657853.717639441,2069471.8276955413
455,3657862.3102337224,2069571.0942898747
456,3657870.9076954694,2069670.583063096
457,3657879.4922279534,2069769.8506848079
458,3657888.076900731,2069869.1183813293
459,3657896.693833791,2069968.7166767768
460,3657905.2704455177,2070067.9854006772
461,3657913.8471977804,2070167.2541993507
462,3657922.4431394665,2070266.6323702321
463,3657931.028514503,2070365.9004410168
464,3657939.6056882665,2070465.1694640669
465,3657948.1746611213,2070564.4394393514
466,3657956.762823712,2070663.8187871783
467,3657965.3487605397,2070763.087157054
468,3657973.934837658,2070862.3556016756
469,3657982.5662543788,2070962.175876246
470,3657991.152612894,2071061.4444707527
471,3657999.730770987,2071160.7140174184
472,3658008.3174102046,2071259.9827613626
473,3658016.9041897114,2071359.2515800176
474,3657919.281904697,2069064.918784585
475,3657927.8641401315,2069164.1860598226
476,3657936.4572199206,2069263.56358416
477,3657945.0230502123,2069362.8327640968
478,3657953.667571432,2069462.6502585737
479,3657962.2420262545,2069561.9187111016
480,3657970.8249641513,2069661.1863610032
481,3657979.4080423233,2069760.4540857144
482,3657987.9912607726,2069859.7218852448
483,3657996.5662773093,2069958.99063698
484,3658005.1497764313,2070058.2585860991
485,3658013.725073885,2070157.5274874046
486,3658022.30885368,2070256.7955860852
487,3658030.8927737507,2070356.063759551
488,3658039.5243854043,2070455.9948141023
489,3658048.116928559,2070555.2622602426
490,3658056.6929290732,2070654.5315358483
491,3658065.2774113193,2070753.8000088576
492,3658073.87274014,2070853.1787322115
493,3658082.457503075,2070952.447354798
494,3658091.034065434,2071051.7169294262
495,3658099.619109038,2071150.9857014702
496,3658019.2294688695,2069055.743398893
497,3658027.8102503675,2069155.0107772662
498,3658036.382829072,2069254.2791078251
499,3658044.963891213,2069353.5466358839
500,3658053.555796356,2069452.924413332
501,3658062.1538245347,2069552.1903365154
502,3658070.726964785,2069651.4589664745
503,3658079.319291142,2069750.8369687444
504,3658087.90105474,2069850.1048711073
505,3658096.504365468,2069949.5931982233
506,3658105.099474931,2070049.0824777482
507,3658113.6816599844,2070148.3506048373
508,3658122.2663473124,2070247.7298592
509,3658130.8488131445,2070346.9981359362
510,3658139.423077641,2070446.267364683
511,3658147.9974826407,2070545.536668189
512,3658156.599415249,2070644.91446756
513,3658165.1741011473,2070744.1839206484
514,3658173.757268654,2070843.452571276
515,3658182.4048053664,2070943.3823515526
516,3658190.98825422,2071042.65115216
517,3658110.544492962,2068946.7513222292
518,3658119.1236795825,2069046.0187284357
519,3658127.713707158,2069145.3963839386
520,3658136.2848313376,2069244.6648171477
521,3658144.8727819,2069343.9315707937
522,3658153.50005075,2069443.8620789868
523,3658162.1049679164,2069543.1272284572
524,3658170.676654271,2069642.3959614977
525,3658179.2568235723,2069741.6638921811
526,3658187.8371331175,2069840.9318976835
527,3658196.409240689,2069940.2008551364
528,3658204.989830842,2070039.4690102392
529,3658213.562219264,2070138.7381172683
530,3658222.159773727,2070238.004667712
531,3658230.7407844868,2070337.273047198
532,3658239.3754480663,2070437.0923791146
533,3658247.9483985174,2070536.361785662
534,3658256.5214894554,2070635.6312669695
535,3658265.111403362,2070734.899068857
536,3658273.695478098,2070834.278875528
537,3658282.277331385,2070933.5477040873
538,3658290.8760066666,2071032.814853276
539,3658210.4664321775,2068937.4705865402
540,3658219.0715505905,2069036.8465160427
541,3658227.641080312,2069136.1149772934
542,3658236.227436671,2069235.3817592328
543,3658244.807946466,2069334.7605449068
544,3658253.402926015,2069434.0265995855
545,3658261.9730171515,2069533.2953602793
546,3658270.551591355,2069632.5633187497
547,3658279.1410057144,2069731.941527114
548,3658287.711518158,2069831.2105123342
549,3658296.3476406178,2069930.80659002
550,3658304.918433931,2070030.0757251082
551,3658313.4977097022,2070129.3440579863
552,3658322.0687838336,2070228.6133426507
553,3658330.669741704,2070328.102176257
554,3658339.2661217973,2070427.368979723
555,3658347.856659668,2070526.7477876637
556,3658356.4282954843,2070626.0173716657
557,3658365.00007177,2070725.2870304154
558,3658373.5803296594,2070824.5558869736
559,3658382.2202161825,2070924.2637687603
560,3658390.811456568,2071023.642951332
561,3658310.3731192155,2068927.8591595383
562,3658318.941054197,2069027.1276484383
563,3658327.5531999944,2069126.5028790908
564,3658336.1214155382,2069225.7715177985
565,3658344.698114514,2069325.039354416
566,3658353.3344310047,2069424.746211837
567,3658361.903067981,2069524.0150754056
568,3658370.4908861998,2069623.393312006
569,3658379.0598041015,2069722.6623252938
570,3658387.6836288352,2069822.1482564139
571,3658396.2528274367,2069921.417419511
572,3658404.830508615,2070020.6857805303
573,3658413.425014007,2070119.9524626187
574,3658421.994633482,2070219.2218501156
575,3658430.572735168,2070318.4904355346
576,3658439.150977064,2070417.7590957333
577,3658447.7888399023,2070517.4667805824
578,3658456.3590211347,2070616.7364675081
579,3658464.948383795,2070716.115528427
580,3658473.5188459503,2070815.3853649448
581,3658482.122812668,2070914.651769016
582,3658490.6935552405,2071013.921755038
583,3658401.705284831,2068818.9816786826
584,3658410.2716250005,2068918.2501953107
585,3658418.889231885,2069017.9586089575
586,3658427.4808830665,2069117.224645184
587,3658436.0559877325,2069216.492509927
588,3658444.6335857497,2069315.8715013226
589,3658453.2256568037,2069415.1377622657
590,3658461.8011820717,2069514.405851651
591,3658470.3768475335,2069613.6740158685
592,3658478.9800348994,2069713.0506767307
593,3658487.547638264,2069812.3198674705
594,3658496.1237243256,2069911.5882562534
595,3658504.7594233295,2070011.295668745
596,3658513.3357900903,2070110.5642075036
597,3658521.9039551504,2070209.8336977928
598,3658530.497285966,2070309.100632715
599,3658539.074073185,2070408.3693958651
600,3658547.6510005975,2070507.6382338055
601,3658556.244751018,2070606.9053931385
602,3658564.835013464,2070706.3956096836
603,3658573.41236161,2070805.6646721077
604,3658582.017230399,2070905.042232308
605,3658590.637652846,2071004.752150081
606,3658599.2070812206,2071104.0223138467
607,3658501.6101075914,2068809.5963004164
608,3658510.2000243985,2068908.8622896457
609,3658518.7650507875,2069008.1309838688
610,3658527.346904096,2069107.39799958
611,3658535.9502861276,2069206.8854402704
612,3658544.524076579,2069306.1534825715
613,3658553.1146929758,2069405.4198464036
614,3658561.742237591,2069505.2389149372
615,3658570.333134306,2069604.5054289326
616,3658578.9074856783,2069703.773771068
617,3658587.4736348316,2069803.0430646534
618,3658596.0756465937,2069902.4199788372
619,3658604.6504185153,2070001.6885455302
620,3658613.263405959,2070101.1757854465
621,3658621.83845827,2070200.4445019376
622,3658630.4053089693,2070299.7141698082
623,3658638.997325085,2070398.9812827313
624,3658647.6048863954,2070498.5807520463
625,3658656.197182549,2070597.8480148304
626,3658664.7836322677,2070697.2272818421
627,3658673.3511846475,2070796.4973239263
628,3658681.9522416736,2070895.7639346349
629,3658690.520074405,2070995.0341262324
630,3658699.123767024,2071094.4119396766
631,3658601.540116861,2068800.2098781066
632,3658610.1118924953,2068899.4777235964
633,3658618.7325725695,2068999.074415882
634,3658627.2962854393,2069098.3432879476
635,3658635.8851681375,2069197.609605233
636,3658644.468197392,2069296.9879257497
637,3658653.0573598226,2069396.2543928865
638,3658661.629976378,2069495.5226879476
639,3658670.2194184028,2069594.7893048336
640,3658678.7946659783,2069694.1688016905
641,3658687.3843878554,2069793.4355683671
642,3658695.9575648303,2069892.7041628752
643,3658704.6010357467,2069992.521958532
644,3658713.1744934935,2070091.7907031095
645,3658721.764775247,2070191.0577695747
646,3658730.3301712694,2070290.3275402219
647,3658738.9207327357,2070389.5947563306
648,3658747.4947507586,2070488.863800122
649,3658756.0855918145,2070588.1311658453
650,3658764.6598899136,2070687.4003592108
651,3658773.2343281726,2070786.6696273496
652,3658781.8172476627,2070885.9380938513
653,3658790.4644787246,2070985.8676953262
654,3658799.0476788767,2071085.1363118754
